Year,Team,RA/G,ERA,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,WS_Winner
2023,ARI,4.7,4.47,1,9,44,1435.1,1375,761,713,197,525,1351,1.324,8.47,1.24,56,134,0.99,28.5,No
2022,ARI,4.57,4.25,0,10,33,1430.0,1345,740,676,191,504,1216,1.293,7.65,1.2,86,134,0.985,30.0,No
2021,ARI,5.51,5.11,3,4,22,1417.1,1480,893,804,232,555,1238,1.436,7.86,1.47,100,113,0.983,28.5,No
2019,ARI,4.59,4.25,0,11,45,1465.0,1400,743,691,220,516,1427,1.308,8.77,1.35,86,136,0.986,28.6,No
2018,ARI,3.98,3.72,2,9,39,1463.0,1313,644,605,174,522,1448,1.254,8.91,1.07,75,152,0.988,29.6,No
2017,ARI,4.07,3.66,2,11,43,1441.0,1309,659,586,171,516,1482,1.266,9.26,1.07,108,140,0.982,28.7,No
2016,ARI,5.49,5.09,2,7,31,1451.1,1563,890,821,202,603,1318,1.492,8.17,1.25,101,143,0.983,26.4,No
2015,ARI,4.4,4.04,1,12,44,1466.2,1450,713,659,182,500,1215,1.33,7.46,1.12,86,146,0.986,27.1,No
2014,ARI,4.58,4.26,2,4,35,1444.1,1467,742,683,154,469,1278,1.34,7.96,0.96,101,147,0.983,28.0,No
2013,ARI,4.29,3.92,6,7,38,1495.0,1460,695,651,176,485,1218,1.301,7.33,1.06,75,135,0.988,27.6,No
2012,ARI,4.25,3.93,4,9,39,1433.2,1432,688,626,155,417,1200,1.29,7.53,0.97,90,146,0.985,27.4,No
2011,ARI,4.09,3.8,5,12,58,1443.1,1414,662,609,159,442,1058,1.286,6.6,0.99,90,131,0.985,27.4,No
2010,ARI,5.16,4.81,3,3,35,1432.0,1503,836,765,210,548,1070,1.432,6.72,1.32,102,152,0.983,27.9,No
2009,ARI,4.83,4.42,4,12,36,1447.2,1470,782,711,168,525,1158,1.378,7.2,1.04,124,133,0.98,27.7,No
2008,ARI,4.36,3.98,6,9,39,1434.2,1403,706,635,147,451,1229,1.292,7.71,0.92,113,137,0.981,29.4,No
2007,ARI,4.52,4.13,7,12,51,1441.0,1446,732,662,169,546,1088,1.382,6.8,1.06,106,157,0.983,28.2,No
2006,ARI,4.86,4.48,8,9,34,1459.2,1503,788,727,168,536,1115,1.397,6.87,1.04,104,172,0.983,28.8,No
2005,ARI,5.28,4.84,6,10,45,1456.1,1580,856,783,193,537,1038,1.454,6.41,1.19,94,159,0.985,27.4,No
2004,ARI,5.55,4.98,5,6,33,1436.0,1480,899,794,197,668,1153,1.496,7.23,1.23,139,144,0.977,29.3,No
2003,ARI,4.23,3.84,7,11,42,1455.0,1379,685,621,150,526,1291,1.309,7.99,0.93,107,132,0.983,29.2,No
2002,ARI,4.16,3.92,14,10,40,1446.2,1361,674,630,170,421,1303,1.232,8.11,1.06,89,116,0.985,31.7,No
2001,ARI,4.18,3.87,12,13,34,1459.2,1352,677,627,195,461,1297,1.242,8.0,1.2,84,148,0.986,30.9,Yes
2000,ARI,4.65,4.35,16,8,38,1443.2,1441,754,698,190,500,1220,1.344,7.61,1.18,107,138,0.982,31.6,No
1999,ARI,4.17,3.77,16,9,42,1467.1,1387,676,615,176,543,1198,1.315,7.35,1.08,104,132,0.983,30.6,No
1998,ARI,5.01,4.63,7,6,37,1432.1,1463,812,737,188,489,908,1.363,5.71,1.18,100,125,0.984,27.4,No
2023,ATL,4.42,4.14,1,15,52,1440.0,1341,716,662,187,534,1516,1.302,9.48,1.17,82,134,0.986,29.9,No
2022,ATL,3.76,3.46,1,9,55,1448.0,1224,609,556,148,500,1554,1.191,9.66,0.92,77,110,0.987,30.0,No
2021,ATL,4.07,3.88,2,18,40,1410.2,1237,656,608,183,516,1417,1.243,9.04,1.17,71,104,0.988,29.5,Yes
2019,ATL,4.59,4.19,1,8,44,1450.2,1421,743,675,203,548,1393,1.357,8.64,1.26,78,154,0.987,27.5,No
2018,ATL,4.06,3.75,2,11,40,1456.2,1236,657,607,153,635,1423,1.284,8.79,0.95,80,134,0.986,27.7,No
2017,ATL,5.07,4.72,0,6,36,1441.1,1463,821,756,192,584,1258,1.42,7.86,1.2,97,137,0.984,29.4,No
2016,ATL,4.84,4.51,1,9,39,1447.2,1414,779,725,177,547,1227,1.355,7.63,1.1,101,134,0.983,26.4,No
2015,ATL,4.69,4.41,3,10,44,1425.1,1462,760,698,170,550,1148,1.412,7.25,1.07,90,186,0.985,26.6,No
2014,ATL,3.69,3.38,5,13,54,1455.0,1369,597,547,121,472,1301,1.265,8.05,0.75,85,143,0.986,27.3,No
2013,ATL,3.38,3.18,1,12,53,1450.1,1326,548,512,127,409,1232,1.196,7.65,0.79,85,141,0.986,27.2,No
2012,ATL,3.7,3.42,5,16,47,1445.1,1310,600,549,145,464,1232,1.227,7.67,0.9,86,147,0.986,27.6,No
2011,ATL,3.73,3.48,3,16,52,1479.2,1332,605,572,125,521,1332,1.252,8.1,0.76,83,131,0.987,28.4,No
2010,ATL,3.88,3.56,2,9,41,1439.1,1326,629,569,126,505,1241,1.272,7.76,0.79,126,166,0.98,30.1,No
2009,ATL,3.96,3.57,3,10,38,1462.2,1399,641,581,119,530,1232,1.319,7.58,0.73,96,159,0.985,28.9,No
2008,ATL,4.8,4.46,2,7,26,1440.2,1439,778,714,156,586,1076,1.406,6.72,0.97,107,149,0.983,28.6,No
2007,ATL,4.52,4.11,1,6,36,1456.1,1442,733,665,172,537,1106,1.359,6.83,1.06,107,141,0.983,29.4,No
2006,ATL,4.97,4.6,6,6,38,1441.1,1529,805,736,183,572,1049,1.458,6.55,1.14,99,146,0.984,29.4,No
2005,ATL,4.16,3.98,8,12,38,1443.2,1487,674,639,145,520,929,1.39,5.79,0.9,86,170,0.986,28.6,No
2004,ATL,4.12,3.74,4,13,48,1450.0,1475,668,603,154,523,1025,1.378,6.36,0.96,116,171,0.981,30.1,No
2003,ATL,4.57,4.1,4,7,51,1456.1,1425,740,663,147,555,992,1.36,6.13,0.91,121,166,0.981,31.1,No
2002,ATL,3.51,3.13,3,15,57,1467.1,1302,565,511,123,554,1058,1.265,6.49,0.75,114,170,0.982,31.1,No
2001,ATL,3.97,3.59,5,13,41,1447.1,1363,643,578,153,499,1133,1.287,7.05,0.95,103,133,0.983,31.1,No
2000,ATL,4.41,4.05,13,9,53,1440.1,1428,714,648,165,484,1093,1.327,6.83,1.03,129,138,0.979,31.4,No
1999,ATL,4.08,3.63,9,9,45,1471.0,1398,661,593,142,507,1197,1.295,7.32,0.87,111,127,0.982,28.6,No
1998,ATL,3.59,3.25,24,23,45,1438.2,1291,581,520,117,467,1232,1.222,7.71,0.73,91,139,0.985,29.5,No
1997,ATL,3.59,3.18,21,17,37,1465.2,1319,581,518,111,450,1196,1.207,7.34,0.68,114,136,0.982,28.5,No
1996,ATL,4.0,3.52,14,9,46,1469.0,1372,648,575,120,451,1245,1.241,7.63,0.74,130,143,0.98,27.9,No
1995,ATL,3.75,3.44,18,11,34,1291.2,1184,540,494,107,436,1087,1.254,7.57,0.75,100,113,0.982,27.4,Yes
1994,ATL,3.93,3.57,16,8,26,1026.1,929,448,407,76,378,865,1.273,7.59,0.67,81,85,0.982,27.4,No
1993,ATL,3.45,3.14,18,16,46,1455.0,1297,559,507,101,480,1036,1.221,6.41,0.62,108,146,0.983,26.8,No
1992,ATL,3.51,3.14,26,24,41,1460.0,1321,569,510,89,489,948,1.24,5.84,0.55,109,121,0.982,27.5,No
1991,ATL,3.98,3.49,18,7,48,1452.2,1304,644,563,118,481,969,1.229,6.0,0.73,138,122,0.978,27.1,No
1990,ATL,5.07,4.58,17,8,30,1429.2,1527,821,727,128,579,938,1.473,5.9,0.81,158,133,0.974,25.8,No
1989,ATL,4.22,3.7,15,8,33,1447.2,1370,680,595,114,468,966,1.27,6.01,0.71,152,124,0.976,25.4,No
1988,ATL,4.63,4.09,14,4,25,1446.0,1481,741,657,108,524,810,1.387,5.04,0.67,151,138,0.976,27.4,No
1987,ATL,5.15,4.63,16,4,32,1427.2,1529,829,734,163,587,837,1.482,5.28,1.03,116,170,0.982,29.2,No
1986,ATL,4.47,3.97,17,5,39,1424.2,1443,719,629,117,576,932,1.417,5.89,0.74,141,181,0.978,28.9,No
1985,ATL,4.82,4.19,9,9,29,1457.1,1512,781,679,134,642,776,1.478,4.79,0.83,159,197,0.976,28.8,No
1984,ATL,4.04,3.57,17,7,49,1447.0,1401,655,574,122,525,859,1.331,5.34,0.76,139,153,0.978,28.4,No
1983,ATL,3.95,3.67,18,4,48,1440.2,1412,640,588,132,540,895,1.355,5.59,0.82,137,176,0.978,29.2,No
1982,ATL,4.33,3.82,15,11,51,1463.0,1484,702,621,126,502,813,1.357,5.0,0.78,137,186,0.979,29.4,No
1981,ATL,3.89,3.45,11,4,24,968.0,936,416,371,62,330,471,1.308,4.38,0.58,102,93,0.976,31.5,No
1980,ATL,4.1,3.77,29,9,37,1428.0,1397,660,598,131,454,696,1.296,4.39,0.83,162,156,0.975,29.6,No
1979,ATL,4.77,4.18,32,3,34,1407.2,1496,763,654,132,494,779,1.414,4.98,0.84,183,139,0.97,28.9,No
1978,ATL,4.63,4.08,29,12,32,1440.1,1404,750,653,132,624,848,1.408,5.3,0.82,153,126,0.975,28.2,No
1977,ATL,5.52,4.85,28,5,31,1445.1,1581,895,779,169,701,915,1.579,5.7,1.05,175,127,0.972,28.4,No
1976,ATL,4.32,3.86,33,13,27,1438.0,1435,700,617,86,564,818,1.39,5.12,0.54,167,151,0.973,29.1,No
1975,ATL,4.59,3.91,32,4,24,1430.0,1543,739,622,101,519,669,1.442,4.21,0.64,175,147,0.972,29.5,No
1974,ATL,3.45,3.05,46,21,22,1474.1,1343,563,500,97,488,772,1.242,4.71,0.59,132,161,0.979,29.5,No
1973,ATL,4.78,4.25,34,9,35,1462.0,1467,774,690,144,575,803,1.397,4.94,0.89,166,142,0.974,28.2,No
1972,ATL,4.71,4.27,40,4,27,1377.0,1412,730,654,155,512,732,1.397,4.78,1.01,156,130,0.974,28.2,No
1971,ATL,4.31,3.75,40,11,31,1474.2,1529,699,614,152,485,823,1.366,5.02,0.93,146,180,0.977,28.5,No
1970,ATL,4.77,4.33,45,9,24,1430.2,1451,772,688,185,478,960,1.348,6.04,1.16,141,118,0.977,28.7,No
1969,ATL,3.9,3.53,38,7,42,1445.0,1334,631,566,144,438,893,1.226,5.56,0.9,115,114,0.981,27.5,No
1968,ATL,3.37,2.92,44,16,29,1474.2,1326,549,478,87,362,871,1.145,5.32,0.53,125,139,0.98,27.5,No
1967,ATL,3.95,3.47,35,5,32,1454.0,1377,640,561,118,449,862,1.256,5.34,0.73,138,148,0.978,28.1,No
1966,ATL,4.19,3.68,37,10,36,1469.1,1430,683,601,129,485,884,1.303,5.41,0.79,154,139,0.976,28.0,No
1965,ATL,3.91,3.52,43,4,38,1447.2,1336,633,566,123,541,966,1.297,6.01,0.76,140,145,0.978,26.6,No
1964,ATL,4.59,4.12,45,14,38,1434.2,1411,744,656,160,452,906,1.299,5.68,1.0,143,139,0.977,28.0,No
1963,ATL,3.7,3.27,56,18,25,1471.2,1327,603,534,149,489,924,1.234,5.65,0.91,129,161,0.98,28.1,No
1962,ATL,4.1,3.68,59,10,24,1434.2,1443,665,586,151,407,802,1.289,5.03,0.95,124,154,0.98,28.9,No
1961,ATL,4.23,3.89,57,8,16,1391.1,1357,656,602,153,493,652,1.33,4.22,0.99,111,152,0.982,30.8,No
1960,ATL,4.27,3.76,55,13,28,1387.1,1327,658,580,130,518,807,1.33,5.24,0.84,141,137,0.976,30.4,No
1959,ATL,3.97,3.51,69,18,18,1400.2,1406,623,546,128,429,775,1.31,4.98,0.82,127,138,0.979,30.2,No
1958,ATL,3.51,3.21,72,16,18,1376.0,1261,541,491,125,426,773,1.226,5.06,0.82,120,152,0.98,29.9,No
1957,ATL,3.95,3.47,60,9,23,1411.0,1347,613,544,124,570,693,1.359,4.42,0.79,120,173,0.981,29.0,No
1956,ATL,3.67,3.11,64,12,25,1393.1,1295,569,482,133,467,639,1.265,4.13,0.86,130,159,0.979,28.6,No
1955,ATL,4.34,3.85,61,5,13,1383.0,1339,668,591,138,591,654,1.396,4.26,0.9,152,155,0.975,27.2,No
1954,ATL,3.61,3.19,63,13,20,1394.2,1296,556,494,106,553,698,1.326,4.5,0.68,116,171,0.981,27.4,No
1953,ATL,3.75,3.3,72,14,16,1387.0,1282,589,508,107,539,738,1.313,4.79,0.69,143,169,0.976,28.1,No
1952,ATL,4.2,3.78,63,11,13,1396.0,1388,651,586,106,525,687,1.37,4.43,0.68,154,143,0.975,28.8,No
1951,ATL,4.27,3.75,73,16,12,1389.0,1378,662,578,96,595,604,1.42,3.91,0.62,145,157,0.976,28.0,No
1950,ATL,4.72,4.14,88,7,10,1385.1,1411,736,637,129,554,615,1.418,4.0,0.84,182,146,0.97,28.6,No
1949,ATL,4.58,3.99,68,12,11,1400.0,1466,719,620,110,520,589,1.419,3.79,0.71,148,144,0.976,28.9,No
1948,ATL,3.79,3.38,70,10,17,1389.1,1354,584,521,93,430,579,1.284,3.75,0.6,143,132,0.976,29.6,No
1947,ATL,4.06,3.62,74,14,13,1362.2,1342,626,548,93,453,494,1.317,3.26,0.61,153,124,0.974,30.4,No
1946,ATL,3.84,3.35,74,10,12,1371.0,1291,592,510,76,478,566,1.29,3.72,0.5,169,129,0.972,30.9,No
1945,ATL,4.73,4.04,57,7,13,1391.2,1474,728,624,99,557,404,1.459,2.61,0.64,193,160,0.969,30.8,No
1944,ATL,4.35,3.67,70,13,12,1388.1,1430,674,566,80,527,454,1.41,2.94,0.52,182,160,0.971,29.0,No
1943,ATL,4.0,3.25,87,13,4,1397.2,1361,612,505,66,441,409,1.289,2.63,0.42,176,139,0.972,28.2,No
1942,ATL,4.3,3.76,68,9,8,1334.0,1326,645,557,82,518,414,1.382,2.79,0.55,142,138,0.976,26.6,No
1941,ATL,4.62,3.95,62,10,9,1385.2,1440,720,608,75,554,446,1.439,2.9,0.49,191,174,0.969,26.2,No
1940,ATL,4.9,4.36,76,9,8,1359.0,1444,745,658,83,573,435,1.484,2.88,0.55,184,169,0.97,28.1,No
1939,ATL,4.34,3.71,68,11,15,1358.1,1400,659,560,63,513,430,1.408,2.85,0.42,181,178,0.971,31.1,No
1938,ATL,4.04,3.4,83,15,12,1380.0,1375,618,522,66,465,413,1.333,2.69,0.43,173,136,0.972,30.4,No
1937,ATL,3.66,3.22,85,16,10,1359.1,1344,556,486,60,372,387,1.262,2.56,0.4,157,128,0.975,30.8,No
1936,ATL,4.55,3.94,61,7,13,1413.1,1566,715,619,69,451,421,1.427,2.68,0.44,189,175,0.971,30.8,No
1935,ATL,5.57,4.93,54,6,5,1330.0,1645,852,729,81,404,355,1.541,2.4,0.55,197,101,0.967,33.2,No
1934,ATL,4.7,4.11,62,12,20,1359.2,1512,714,621,78,405,462,1.41,3.06,0.52,169,120,0.972,32.3,No
1933,ATL,3.4,2.96,85,15,16,1403.0,1391,531,462,54,355,383,1.244,2.46,0.35,138,148,0.978,32.0,No
1932,ATL,4.23,3.53,72,8,8,1414.0,1483,655,554,61,420,440,1.346,2.8,0.39,152,145,0.976,30.2,No
1931,ATL,4.36,3.9,78,12,9,1380.1,1465,680,598,66,406,419,1.355,2.73,0.43,170,141,0.973,30.2,No
1930,ATL,5.42,4.91,71,6,11,1361.0,1624,835,743,117,475,424,1.542,2.8,0.77,178,167,0.971,30.9,No
1929,ATL,5.69,5.12,78,4,12,1352.2,1604,876,770,103,530,366,1.578,2.44,0.69,204,146,0.967,29.7,No
1928,ATL,5.74,4.83,54,1,7,1360.0,1596,878,730,100,524,343,1.559,2.27,0.66,193,141,0.969,28.3,No
1927,ATL,4.97,4.22,52,3,10,1390.0,1602,771,652,43,468,402,1.489,2.6,0.28,231,130,0.963,29.0,No
1926,ATL,4.7,4.01,60,9,10,1365.1,1536,719,608,46,455,408,1.458,2.69,0.3,208,150,0.967,28.4,No
1925,ATL,5.24,4.39,77,5,4,1366.2,1567,802,667,67,458,351,1.482,2.31,0.44,221,145,0.964,27.9,No
1924,ATL,5.18,4.46,66,10,4,1379.1,1607,798,684,49,402,364,1.457,2.38,0.32,168,154,0.973,26.6,No
1923,ATL,5.15,4.21,55,13,8,1392.2,1662,798,652,64,394,351,1.476,2.27,0.41,230,157,0.964,29.1,No
1922,ATL,5.34,4.37,62,7,7,1348.0,1565,822,655,57,489,360,1.524,2.4,0.38,215,121,0.965,28.7,No
1921,ATL,4.56,3.9,74,11,12,1385.0,1488,697,600,54,420,382,1.378,2.48,0.35,199,122,0.969,26.5,No
1920,ATL,4.38,3.54,93,14,6,1386.1,1464,670,545,39,415,368,1.355,2.39,0.25,239,125,0.964,26.9,No
1919,ATL,4.02,3.17,79,5,9,1270.1,1313,563,447,29,337,374,1.299,2.65,0.21,204,111,0.966,28.0,No
1918,ATL,3.78,2.9,96,13,0,1117.1,1111,469,360,14,277,340,1.242,2.74,0.11,184,93,0.965,28.4,No
1917,ATL,3.52,2.77,103,21,3,1424.2,1309,552,438,19,371,593,1.179,3.75,0.12,224,122,0.966,27.5,No
1916,ATL,2.87,2.19,97,23,11,1415.2,1206,453,345,24,325,644,1.081,4.09,0.15,212,124,0.967,27.9,No
1915,ATL,3.47,2.57,95,17,13,1405.2,1257,545,402,23,366,630,1.155,4.03,0.15,213,115,0.966,27.2,No
1914,ATL,3.47,2.74,104,19,6,1421.0,1272,548,433,38,477,606,1.231,3.84,0.24,246,143,0.963,25.2,No
1913,ATL,4.48,3.19,105,13,3,1373.1,1343,690,487,38,419,597,1.283,3.91,0.25,273,82,0.957,27.7,No
1912,ATL,5.62,4.17,89,5,5,1390.2,1544,871,644,43,521,542,1.485,3.51,0.28,297,129,0.954,29.3,No
1911,ATL,6.54,5.08,73,5,7,1374.0,1570,1021,776,76,672,486,1.632,3.18,0.5,347,110,0.947,27.5,No
1910,ATL,4.46,3.22,72,12,9,1390.1,1328,701,497,36,599,440,1.386,2.85,0.23,305,137,0.954,26.8,No
1909,ATL,4.41,3.2,98,13,6,1370.2,1329,683,487,23,543,414,1.366,2.72,0.15,342,101,0.948,25.9,No
1908,ATL,3.99,2.79,92,14,1,1404.2,1262,622,436,29,423,416,1.2,2.67,0.19,253,90,0.962,28.3,No
1907,ATL,4.29,3.33,121,9,2,1338.2,1324,652,496,28,458,426,1.331,2.86,0.19,249,128,0.961,28.2,No
1906,ATL,4.27,3.14,137,10,0,1334.1,1291,649,465,24,436,562,1.294,3.79,0.16,337,102,0.947,26.9,No
1905,ATL,4.7,3.52,139,14,0,1383.0,1390,733,541,36,433,533,1.318,3.47,0.23,325,89,0.951,28.7,No
1904,ATL,4.83,3.43,136,13,0,1348.1,1405,749,514,25,500,544,1.413,3.63,0.17,353,91,0.945,27.6,No
1903,ATL,4.99,3.34,125,8,1,1228.2,1310,699,456,30,460,516,1.441,3.78,0.22,361,89,0.939,29.1,No
1902,ATL,3.63,2.61,124,14,4,1259.2,1233,516,365,16,372,523,1.274,3.74,0.11,240,90,0.959,27.0,No
1901,ATL,3.97,2.9,128,11,0,1263.0,1196,556,407,29,349,558,1.223,3.98,0.21,282,89,0.952,27.4,No
1900,ATL,5.2,3.72,116,8,2,1240.1,1263,739,513,59,463,340,1.392,2.47,0.43,273,86,0.953,26.5,No
1899,ATL,4.22,3.26,138,13,4,1348.0,1273,645,489,44,432,385,1.265,2.57,0.29,303,124,0.952,26.2,No
1898,ATL,4.04,2.98,127,9,8,1340.0,1186,614,443,37,470,432,1.236,2.9,0.25,310,102,0.95,25.6,No
1897,ATL,4.93,3.65,115,8,7,1194.1,1273,665,485,39,393,329,1.395,2.48,0.29,272,80,0.951,26.4,No
1896,ATL,5.77,3.78,110,6,3,1155.2,1254,761,485,57,397,277,1.429,2.16,0.44,368,94,0.934,26.8,No
1895,ATL,6.23,4.25,117,4,4,1185.1,1376,829,560,56,367,377,1.47,2.86,0.43,365,106,0.935,25.2,No
1894,ATL,7.53,5.41,108,3,2,1166.0,1529,1002,701,89,411,262,1.664,2.02,0.69,415,120,0.925,25.7,No
1893,ATL,6.07,4.43,114,2,2,1163.2,1314,795,573,66,402,253,1.475,1.96,0.51,353,118,0.936,24.9,No
1892,ATL,4.27,2.86,142,15,1,1336.0,1156,649,424,41,460,514,1.21,3.46,0.28,454,128,0.929,24.2,No
1891,ATL,4.7,2.76,126,9,6,1241.2,1223,658,381,51,364,525,1.278,3.81,0.37,358,96,0.938,25.1,No
1890,ATL,4.43,2.93,132,13,1,1187.0,1132,593,387,27,354,506,1.252,3.84,0.2,359,77,0.935,24.4,No
1889,ATL,4.71,3.36,121,10,5,1166.0,1152,626,435,41,413,497,1.342,3.84,0.32,413,105,0.926,27.3,No
1888,ATL,4.52,2.61,134,7,0,1225.1,1104,619,355,36,269,484,1.121,3.55,0.26,494,91,0.917,25.5,No
1887,ATL,6.24,4.41,123,4,1,1100.2,1226,792,539,55,396,254,1.474,2.08,0.45,522,94,0.905,24.9,No
1886,ATL,5.6,3.24,116,3,0,1029.0,1049,661,371,33,298,511,1.309,4.47,0.29,465,63,0.905,26.5,No
1885,ATL,5.21,3.03,111,10,0,981.0,1045,589,330,26,188,480,1.257,4.4,0.24,478,79,0.901,25.5,No
1884,ATL,4.03,2.47,109,14,2,1037.0,932,468,285,30,135,742,1.029,6.44,0.26,384,46,0.922,24.1,No
1883,ATL,4.65,2.55,89,6,3,860.0,853,456,244,11,90,538,1.097,5.63,0.12,409,58,0.901,23.8,No
1882,ATL,4.87,2.8,81,4,0,749.0,738,414,233,10,77,352,1.088,4.23,0.12,314,37,0.91,26.1,No
1881,ATL,4.94,2.71,72,6,3,730.2,763,410,220,9,143,199,1.24,2.45,0.11,325,54,0.909,23.1,No
1880,ATL,5.3,3.08,70,4,0,744.2,840,456,255,2,86,187,1.244,2.26,0.02,367,54,0.901,24.0,No
1879,ATL,4.14,2.19,79,13,0,753.0,757,348,183,9,46,230,1.066,2.75,0.11,319,58,0.913,23.0,No
1878,ATL,4.02,2.32,58,9,0,544.0,595,241,140,6,38,184,1.164,3.04,0.1,228,48,0.914,22.0,No
1877,ATL,4.31,2.15,61,7,0,548.0,557,263,131,5,38,177,1.086,2.91,0.08,290,36,0.889,21.0,No
1876,ATL,6.43,2.51,49,3,7,632.0,732,450,176,7,104,77,1.323,1.1,0.1,442,42,0.86,21.9,No
2023,BAL,4.19,3.89,0,12,49,1453.2,1334,678,629,177,473,1431,1.243,8.86,1.1,71,140,0.988,28.4,No
2022,BAL,4.25,3.97,2,15,46,1433.1,1406,688,632,171,443,1214,1.29,7.62,1.07,91,151,0.985,27.7,No
2021,BAL,5.9,5.84,1,5,26,1402.0,1518,956,910,258,563,1234,1.484,7.92,1.66,74,101,0.987,28.1,No
2019,BAL,6.06,5.59,0,5,27,1443.0,1544,981,897,305,561,1248,1.459,7.78,1.9,108,155,0.982,27.3,No
2018,BAL,5.51,5.18,2,7,28,1431.0,1552,892,824,234,589,1203,1.496,7.57,1.47,104,159,0.982,27.1,No
2017,BAL,5.19,4.97,1,10,35,1441.0,1505,841,795,242,579,1233,1.446,7.7,1.51,94,175,0.984,28.2,No
2016,BAL,4.41,4.22,1,9,54,1432.0,1408,715,671,183,545,1248,1.364,7.84,1.15,80,165,0.987,27.9,No
2015,BAL,4.28,4.05,0,10,43,1434.2,1406,693,646,174,483,1233,1.317,7.73,1.09,77,134,0.987,28.3,No
2014,BAL,3.66,3.43,3,13,53,1461.1,1342,593,557,151,472,1174,1.241,7.23,0.93,87,156,0.986,27.7,No
2013,BAL,4.38,4.2,2,6,57,1453.0,1438,709,678,202,473,1169,1.315,7.24,1.25,54,165,0.991,27.9,No
2012,BAL,4.35,3.9,1,10,55,1483.0,1433,705,642,184,481,1177,1.291,7.14,1.12,106,151,0.983,27.6,No
2011,BAL,5.31,4.89,3,7,32,1446.2,1568,860,786,210,535,1044,1.454,6.49,1.31,110,159,0.982,28.2,No
2010,BAL,4.85,4.59,3,7,35,1436.1,1508,785,733,186,520,1007,1.412,6.31,1.17,105,141,0.982,28.4,No
2009,BAL,5.41,5.15,2,3,31,1429.0,1633,876,817,218,546,933,1.525,5.88,1.37,90,151,0.985,28.1,No
2008,BAL,5.4,5.13,4,4,35,1422.0,1538,869,810,184,687,922,1.565,5.84,1.16,100,163,0.983,27.9,No
2007,BAL,5.36,5.17,4,9,30,1438.2,1491,868,827,161,696,1087,1.52,6.8,1.01,79,155,0.987,29.0,No
2006,BAL,5.55,5.35,5,9,35,1419.0,1579,899,843,216,613,1016,1.545,6.44,1.37,102,156,0.983,27.9,No
2005,BAL,4.94,4.56,2,9,38,1427.2,1458,800,724,180,580,1052,1.428,6.63,1.13,107,154,0.982,28.3,No
2004,BAL,5.12,4.7,8,10,27,1455.1,1488,830,760,159,687,1090,1.495,6.74,0.98,110,161,0.982,27.4,No
2003,BAL,5.03,4.76,9,3,41,1449.2,1579,820,767,198,526,981,1.452,6.09,1.23,105,164,0.983,29.2,No
2002,BAL,4.77,4.46,8,3,31,1450.2,1491,773,719,208,549,967,1.406,6.0,1.29,91,173,0.985,27.8,No
2001,BAL,5.12,4.67,10,6,31,1432.1,1504,829,744,194,528,938,1.419,5.89,1.22,125,137,0.979,27.6,No
2000,BAL,5.64,5.37,14,6,33,1433.1,1547,913,855,202,665,1017,1.543,6.39,1.27,116,151,0.981,29.1,No
1999,BAL,5.03,4.77,17,11,33,1435.0,1468,815,760,198,647,982,1.474,6.16,1.24,89,191,0.986,30.1,No
1998,BAL,4.85,4.74,16,10,37,1431.1,1505,785,754,169,535,1065,1.425,6.7,1.06,81,144,0.987,30.5,No
1997,BAL,4.2,3.91,8,10,59,1461.0,1404,681,635,164,563,1139,1.346,7.02,1.01,97,148,0.984,30.7,No
1996,BAL,5.54,5.14,13,1,44,1468.2,1604,903,839,209,597,1047,1.499,6.42,1.28,97,173,0.984,28.9,No
1995,BAL,4.44,4.31,19,10,29,1267.0,1165,640,607,149,523,930,1.332,6.61,1.06,72,141,0.986,29.3,No
1994,BAL,4.44,4.31,13,4,37,997.2,1005,497,478,131,351,666,1.359,6.01,1.18,57,103,0.986,29.1,No
1993,BAL,4.6,4.31,21,10,42,1442.2,1427,745,691,153,579,900,1.39,5.61,0.95,100,171,0.984,28.4,No
1992,BAL,4.05,3.79,20,16,48,1464.0,1419,656,616,124,518,846,1.323,5.2,0.76,93,168,0.985,27.9,No
1991,BAL,4.91,4.59,8,8,42,1457.2,1534,796,743,147,504,868,1.398,5.36,0.91,91,172,0.985,27.4,No
1990,BAL,4.34,4.04,10,5,43,1435.1,1445,698,644,161,537,776,1.381,4.87,1.01,93,151,0.985,26.2,No
1989,BAL,4.23,4.0,16,7,44,1448.1,1518,686,644,134,486,676,1.384,4.2,0.83,87,163,0.986,26.9,No
1988,BAL,4.9,4.54,20,7,26,1416.0,1506,789,714,153,523,709,1.433,4.51,0.97,119,172,0.98,27.3,No
1987,BAL,5.43,5.01,17,6,30,1439.2,1555,880,801,226,547,870,1.46,5.44,1.41,111,174,0.982,27.7,No
1986,BAL,4.69,4.3,17,6,39,1436.2,1451,760,687,177,535,954,1.382,5.98,1.11,135,163,0.978,28.8,No
1985,BAL,4.75,4.38,32,6,33,1427.1,1480,764,694,160,568,793,1.435,5.0,1.01,129,168,0.979,28.9,No
1984,BAL,4.12,3.71,48,13,32,1439.1,1393,667,594,137,512,714,1.324,4.46,0.86,123,166,0.981,28.6,No
1983,BAL,4.02,3.63,36,15,38,1452.1,1451,652,585,130,452,774,1.31,4.8,0.81,121,159,0.981,28.2,Yes
1982,BAL,4.21,3.99,38,8,34,1462.1,1436,687,648,147,488,719,1.316,4.43,0.9,101,140,0.984,29.5,No
