Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Mitch Keller,27,9,5,0.643,3.73,20,20,0,1,1,0,123,107,56,51,13,36,0,130,7,1,4,514,120,3.59,1.163,7.8,1,2.6,9.5,3.61,kellemi03
2,SP,Rich Hill*,43,7,9,0.438,4.84,20,20,0,0,0,0,109.2,117,66,59,13,42,0,94,3,1,1,486,92,4.34,1.45,9.6,1.1,3.4,7.7,2.24,hillri01
3,SP,Johan Oviedo,25,3,10,0.231,4.53,19,19,0,0,0,0,107.1,103,58,54,11,43,1,97,6,1,3,475,99,4.18,1.36,8.6,0.9,3.6,8.1,2.26,oviedjo01
4,SP,Roansy Contreras (40-man),23,3,7,0.3,6.59,19,11,1,0,0,1,68.1,75,50,50,11,32,1,55,1,0,3,302,68,5.22,1.566,9.9,1.4,4.2,7.2,1.72,contrro01
5,SP,Luis Ortiz (40-man),24,2,3,0.4,4.86,11,10,0,0,0,0,53.2,67,33,29,11,26,0,34,1,0,3,247,92,6.19,1.733,11.2,1.8,4.4,5.7,1.31,ortizlu03
6,SP,Vince Velasquez (60-day IL),31,4,4,0.5,3.86,8,8,0,0,0,0,37.1,35,16,16,4,14,0,37,1,0,2,162,117,3.9,1.313,8.4,1,3.4,8.9,2.64,velasvi01
7,CL,David Bednar,28,3,1,0.75,1.18,37,0,31,0,0,18,38,28,9,5,1,7,3,46,0,0,1,150,380,1.76,0.921,6.6,0.2,1.7,10.9,6.57,bednada01
8,RP,Dauri Moreta,27,4,2,0.667,3.43,42,0,10,0,0,1,42,29,18,16,3,20,1,56,3,0,3,175,131,3.19,1.167,6.2,0.6,4.3,12,2.8,moretda01
9,RP,Colin Holderman,27,0,2,0,4.06,33,0,3,0,0,1,31,36,15,14,4,10,2,30,0,0,1,137,111,4,1.484,10.5,1.2,2.9,8.7,3,holdeco01
10,RP,Yohan Ramirez (40-man),28,1,0,1,4.25,23,0,7,0,0,0,29.2,31,17,14,3,13,1,25,7,0,2,136,106,4.94,1.483,9.4,0.9,3.9,7.6,1.92,ramiryo01
11,RP,Jose Hernandez* (15-day IL),25,0,1,0,2.63,26,0,6,0,0,0,27.1,22,9,8,3,6,1,28,1,2,1,109,171,3.43,1.024,7.2,1,2,9.2,4.67,hernajo03
12,,Osvaldo Bido,27,1,1,0.5,5,7,6,0,0,0,0,27,29,15,15,1,12,0,25,5,0,0,128,90,3.8,1.519,9.7,0.3,4,8.3,2.08,bidoos01
13,,Duane Underwood Jr.,28,1,0,1,5.18,20,0,9,0,0,2,24.1,24,14,14,3,11,0,14,0,0,0,100,87,5.09,1.438,8.9,1.1,4.1,5.2,1.27,underdu01
14,,Angel Perdomo*,29,1,1,0.5,3.57,18,0,5,0,0,0,17.2,10,8,7,1,6,0,26,2,0,0,69,127,2.44,0.906,5.1,0.5,3.1,13.2,4.33,perdoan01
15,,Rob Zastryzny*,31,1,0,1,5.29,18,0,2,0,0,0,17,20,13,10,1,13,1,13,0,0,2,83,86,4.82,1.941,10.6,0.5,6.9,6.9,1,zastrro01
16,,Yerry De Los Santos,25,0,1,0,3.45,14,0,6,0,0,0,15.2,9,7,6,0,10,2,12,0,0,0,65,132,3.67,1.213,5.2,0,5.7,6.9,1.2,delosye01
17,,Robert Stephenson,30,0,3,0,5.14,18,0,5,0,0,0,14,12,9,8,3,8,1,17,0,0,0,61,89,5.36,1.429,7.7,1.9,5.1,10.9,2.13,stephro01
18,,Carmen Mlodzinski,24,1,2,0.333,2.77,12,1,3,0,0,0,13,9,8,4,2,6,0,9,1,0,0,54,165,5.52,1.154,6.2,1.4,4.2,6.2,1.5,mlodzca01
19,,Ryan Borucki*,29,1,0,1,4.63,11,0,0,0,0,0,11.2,11,6,6,2,0,0,11,2,0,0,47,99,4.14,0.943,8.5,1.5,0,8.5,,borucry01
20,,Chase De Jong,29,0,0,,13.5,6,0,2,0,0,0,11.1,18,17,17,6,6,0,7,2,0,1,60,34,11.05,2.118,14.3,4.8,4.8,5.6,1.17,dejonch01
21,,Cody Bolton (40-man),25,0,0,,9.9,7,0,2,0,0,0,10,18,11,11,2,10,0,10,1,0,0,58,47,7.19,2.8,16.2,1.8,9,9,1,boltoco01
22,,Wil Crowe (DFA),28,0,1,0,4.66,5,0,2,0,0,1,9.2,9,6,5,1,9,1,9,1,0,2,47,99,5.87,1.862,8.4,0.9,8.4,8.4,1,crowewi01
23,,Quinn Priester,22,0,1,0,11.81,1,1,0,0,0,0,5.1,7,7,7,2,2,0,2,0,0,0,25,40,8.54,1.688,11.8,3.4,3.4,3.4,1,priesqu01
24,,Chris Owings,31,0,0,,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,,3.29,2,18,0,0,0,,owingch01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
