Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,Team
2023,NL West,84,78,2,4.7,4.47,162,1,9,44,1435.1,1375,761,713,197,525,1351,1.324,8.47,1.24,56,134,0.99,28.5,ARI
2022,NL West,74,88,4,4.57,4.25,162,0,10,33,1430.0,1345,740,676,191,504,1216,1.293,7.65,1.2,86,134,0.985,30.0,ARI
2021,NL West,52,110,5,5.51,5.11,162,3,4,22,1417.1,1480,893,804,232,555,1238,1.436,7.86,1.47,100,113,0.983,28.5,ARI
2020,NL West,25,35,5,4.92,4.84,60,0,1,13,518.1,506,295,279,93,235,524,1.43,9.1,1.61,35,54,0.983,27.7,ARI
2019,NL West,85,77,2,4.59,4.25,162,0,11,45,1465.0,1400,743,691,220,516,1427,1.308,8.77,1.35,86,136,0.986,28.6,ARI
2018,NL West,82,80,3,3.98,3.72,162,2,9,39,1463.0,1313,644,605,174,522,1448,1.254,8.91,1.07,75,152,0.988,29.6,ARI
2017,NL West,93,69,2,4.07,3.66,162,2,11,43,1441.0,1309,659,586,171,516,1482,1.266,9.26,1.07,108,140,0.982,28.7,ARI
2016,NL West,69,93,4,5.49,5.09,162,2,7,31,1451.1,1563,890,821,202,603,1318,1.492,8.17,1.25,101,143,0.983,26.4,ARI
2015,NL West,79,83,3,4.4,4.04,162,1,12,44,1466.2,1450,713,659,182,500,1215,1.33,7.46,1.12,86,146,0.986,27.1,ARI
2014,NL West,64,98,5,4.58,4.26,162,2,4,35,1444.1,1467,742,683,154,469,1278,1.34,7.96,0.96,101,147,0.983,28.0,ARI
2013,NL West,81,81,2,4.29,3.92,162,6,7,38,1495.0,1460,695,651,176,485,1218,1.301,7.33,1.06,75,135,0.988,27.6,ARI
2012,NL West,81,81,3,4.25,3.93,162,4,9,39,1433.2,1432,688,626,155,417,1200,1.29,7.53,0.97,90,146,0.985,27.4,ARI
2011,NL West,94,68,1,4.09,3.8,162,5,12,58,1443.1,1414,662,609,159,442,1058,1.286,6.6,0.99,90,131,0.985,27.4,ARI
2010,NL West,65,97,5,5.16,4.81,162,3,3,35,1432.0,1503,836,765,210,548,1070,1.432,6.72,1.32,102,152,0.983,27.9,ARI
2009,NL West,70,92,5,4.83,4.42,162,4,12,36,1447.2,1470,782,711,168,525,1158,1.378,7.2,1.04,124,133,0.98,27.7,ARI
2008,NL West,82,80,2,4.36,3.98,162,6,9,39,1434.2,1403,706,635,147,451,1229,1.292,7.71,0.92,113,137,0.981,29.4,ARI
2007,NL West,90,72,1,4.52,4.13,162,7,12,51,1441.0,1446,732,662,169,546,1088,1.382,6.8,1.06,106,157,0.983,28.2,ARI
2006,NL West,76,86,4,4.86,4.48,162,8,9,34,1459.2,1503,788,727,168,536,1115,1.397,6.87,1.04,104,172,0.983,28.8,ARI
2005,NL West,77,85,2,5.28,4.84,162,6,10,45,1456.1,1580,856,783,193,537,1038,1.454,6.41,1.19,94,159,0.985,27.4,ARI
2004,NL West,51,111,5,5.55,4.98,162,5,6,33,1436.0,1480,899,794,197,668,1153,1.496,7.23,1.23,139,144,0.977,29.3,ARI
2003,NL West,84,78,3,4.23,3.84,162,7,11,42,1455.0,1379,685,621,150,526,1291,1.309,7.99,0.93,107,132,0.983,29.2,ARI
2002,NL West,98,64,1,4.16,3.92,162,14,10,40,1446.2,1361,674,630,170,421,1303,1.232,8.11,1.06,89,116,0.985,31.7,ARI
2001,NL West,92,70,1,4.18,3.87,162,12,13,34,1459.2,1352,677,627,195,461,1297,1.242,8.0,1.2,84,148,0.986,30.9,ARI
2000,NL West,85,77,3,4.65,4.35,162,16,8,38,1443.2,1441,754,698,190,500,1220,1.344,7.61,1.18,107,138,0.982,31.6,ARI
1999,NL West,100,62,1,4.17,3.77,162,16,9,42,1467.1,1387,676,615,176,543,1198,1.315,7.35,1.08,104,132,0.983,30.6,ARI
1998,NL West,65,97,5,5.01,4.63,162,7,6,37,1432.1,1463,812,737,188,489,908,1.363,5.71,1.18,100,125,0.984,27.4,ARI
2023,NL East,104,58,1,4.42,4.14,162,1,15,52,1440.0,1341,716,662,187,534,1516,1.302,9.48,1.17,82,134,0.986,29.9,ATL
2022,NL East,101,61,1,3.76,3.46,162,1,9,55,1448.0,1224,609,556,148,500,1554,1.191,9.66,0.92,77,110,0.987,30.0,ATL
2021,NL East,88,73,1,4.07,3.88,161,2,18,40,1410.2,1237,656,608,183,516,1417,1.243,9.04,1.17,71,104,0.988,29.5,ATL
2020,NL East,35,25,1,4.8,4.41,60,0,4,13,524.1,494,288,257,69,220,506,1.362,8.69,1.18,33,52,0.985,28.5,ATL
2019,NL East,97,65,1,4.59,4.19,162,1,8,44,1450.2,1421,743,675,203,548,1393,1.357,8.64,1.26,78,154,0.987,27.5,ATL
2018,NL East,90,72,1,4.06,3.75,162,2,11,40,1456.2,1236,657,607,153,635,1423,1.284,8.79,0.95,80,134,0.986,27.7,ATL
2017,NL East,72,90,3,5.07,4.72,162,0,6,36,1441.1,1463,821,756,192,584,1258,1.42,7.86,1.2,97,137,0.984,29.4,ATL
2016,NL East,68,93,5,4.84,4.51,161,1,9,39,1447.2,1414,779,725,177,547,1227,1.355,7.63,1.1,101,134,0.983,26.4,ATL
2015,NL East,67,95,4,4.69,4.41,162,3,10,44,1425.1,1462,760,698,170,550,1148,1.412,7.25,1.07,90,186,0.985,26.6,ATL
2014,NL East,79,83,2,3.69,3.38,162,5,13,54,1455.0,1369,597,547,121,472,1301,1.265,8.05,0.75,85,143,0.986,27.3,ATL
2013,NL East,96,66,1,3.38,3.18,162,1,12,53,1450.1,1326,548,512,127,409,1232,1.196,7.65,0.79,85,141,0.986,27.2,ATL
2012,NL East,94,68,2,3.7,3.42,162,5,16,47,1445.1,1310,600,549,145,464,1232,1.227,7.67,0.9,86,147,0.986,27.6,ATL
2011,NL East,89,73,2,3.73,3.48,162,3,16,52,1479.2,1332,605,572,125,521,1332,1.252,8.1,0.76,83,131,0.987,28.4,ATL
2010,NL East,91,71,2,3.88,3.56,162,2,9,41,1439.1,1326,629,569,126,505,1241,1.272,7.76,0.79,126,166,0.98,30.1,ATL
2009,NL East,86,76,3,3.96,3.57,162,3,10,38,1462.2,1399,641,581,119,530,1232,1.319,7.58,0.73,96,159,0.985,28.9,ATL
2008,NL East,72,90,4,4.8,4.46,162,2,7,26,1440.2,1439,778,714,156,586,1076,1.406,6.72,0.97,107,149,0.983,28.6,ATL
2007,NL East,84,78,3,4.52,4.11,162,1,6,36,1456.1,1442,733,665,172,537,1106,1.359,6.83,1.06,107,141,0.983,29.4,ATL
2006,NL East,79,83,3,4.97,4.6,162,6,6,38,1441.1,1529,805,736,183,572,1049,1.458,6.55,1.14,99,146,0.984,29.4,ATL
2005,NL East,90,72,1,4.16,3.98,162,8,12,38,1443.2,1487,674,639,145,520,929,1.39,5.79,0.9,86,170,0.986,28.6,ATL
2004,NL East,96,66,1,4.12,3.74,162,4,13,48,1450.0,1475,668,603,154,523,1025,1.378,6.36,0.96,116,171,0.981,30.1,ATL
2003,NL East,101,61,1,4.57,4.1,162,4,7,51,1456.1,1425,740,663,147,555,992,1.36,6.13,0.91,121,166,0.981,31.1,ATL
2002,NL East,101,59,1,3.51,3.13,161,3,15,57,1467.1,1302,565,511,123,554,1058,1.265,6.49,0.75,114,170,0.982,31.1,ATL
2001,NL East,88,74,1,3.97,3.59,162,5,13,41,1447.1,1363,643,578,153,499,1133,1.287,7.05,0.95,103,133,0.983,31.1,ATL
2000,NL East,95,67,1,4.41,4.05,162,13,9,53,1440.1,1428,714,648,165,484,1093,1.327,6.83,1.03,129,138,0.979,31.4,ATL
1999,NL East,103,59,1,4.08,3.63,162,9,9,45,1471.0,1398,661,593,142,507,1197,1.295,7.32,0.87,111,127,0.982,28.6,ATL
1998,NL East,106,56,1,3.59,3.25,162,24,23,45,1438.2,1291,581,520,117,467,1232,1.222,7.71,0.73,91,139,0.985,29.5,ATL
1997,NL East,101,61,1,3.59,3.18,162,21,17,37,1465.2,1319,581,518,111,450,1196,1.207,7.34,0.68,114,136,0.982,28.5,ATL
1996,NL East,96,66,1,4.0,3.52,162,14,9,46,1469.0,1372,648,575,120,451,1245,1.241,7.63,0.74,130,143,0.98,27.9,ATL
1995,NL East,90,54,1,3.75,3.44,144,18,11,34,1291.2,1184,540,494,107,436,1087,1.254,7.57,0.75,100,113,0.982,27.4,ATL
1994,NL East,68,46,2,3.93,3.57,114,16,8,26,1026.1,929,448,407,76,378,865,1.273,7.59,0.67,81,85,0.982,27.4,ATL
1993,NL West,104,58,1,3.45,3.14,162,18,16,46,1455.0,1297,559,507,101,480,1036,1.221,6.41,0.62,108,146,0.983,26.8,ATL
1992,NL West,98,64,1,3.51,3.14,162,26,24,41,1460.0,1321,569,510,89,489,948,1.24,5.84,0.55,109,121,0.982,27.5,ATL
1991,NL West,94,68,1,3.98,3.49,162,18,7,48,1452.2,1304,644,563,118,481,969,1.229,6.0,0.73,138,122,0.978,27.1,ATL
1990,NL West,65,97,6,5.07,4.58,162,17,8,30,1429.2,1527,821,727,128,579,938,1.473,5.9,0.81,158,133,0.974,25.8,ATL
1989,NL West,63,97,6,4.22,3.7,161,15,8,33,1447.2,1370,680,595,114,468,966,1.27,6.01,0.71,152,124,0.976,25.4,ATL
1988,NL West,54,106,6,4.63,4.09,160,14,4,25,1446.0,1481,741,657,108,524,810,1.387,5.04,0.67,151,138,0.976,27.4,ATL
1987,NL West,69,92,5,5.15,4.63,161,16,4,32,1427.2,1529,829,734,163,587,837,1.482,5.28,1.03,116,170,0.982,29.2,ATL
1986,NL West,72,89,6,4.47,3.97,161,17,5,39,1424.2,1443,719,629,117,576,932,1.417,5.89,0.74,141,181,0.978,28.9,ATL
1985,NL West,66,96,5,4.82,4.19,162,9,9,29,1457.1,1512,781,679,134,642,776,1.478,4.79,0.83,159,197,0.976,28.8,ATL
1984,NL West,80,82,2,4.04,3.57,162,17,7,49,1447.0,1401,655,574,122,525,859,1.331,5.34,0.76,139,153,0.978,28.4,ATL
1983,NL West,88,74,2,3.95,3.67,162,18,4,48,1440.2,1412,640,588,132,540,895,1.355,5.59,0.82,137,176,0.978,29.2,ATL
1982,NL West,89,73,1,4.33,3.82,162,15,11,51,1463.0,1484,702,621,126,502,813,1.357,5.0,0.78,137,186,0.979,29.4,ATL
1981,NL West,50,56,5,3.89,3.45,107,11,4,24,968.0,936,416,371,62,330,471,1.308,4.38,0.58,102,93,0.976,31.5,ATL
1980,NL West,81,80,4,4.1,3.77,161,29,9,37,1428.0,1397,660,598,131,454,696,1.296,4.39,0.83,162,156,0.975,29.6,ATL
1979,NL West,66,94,6,4.77,4.18,160,32,3,34,1407.2,1496,763,654,132,494,779,1.414,4.98,0.84,183,139,0.97,28.9,ATL
1978,NL West,69,93,6,4.63,4.08,162,29,12,32,1440.1,1404,750,653,132,624,848,1.408,5.3,0.82,153,126,0.975,28.2,ATL
1977,NL West,61,101,6,5.52,4.85,162,28,5,31,1445.1,1581,895,779,169,701,915,1.579,5.7,1.05,175,127,0.972,28.4,ATL
1976,NL West,70,92,6,4.32,3.86,162,33,13,27,1438.0,1435,700,617,86,564,818,1.39,5.12,0.54,167,151,0.973,29.1,ATL
1975,NL West,67,94,5,4.59,3.91,161,32,4,24,1430.0,1543,739,622,101,519,669,1.442,4.21,0.64,175,147,0.972,29.5,ATL
1974,NL West,88,74,3,3.45,3.05,163,46,21,22,1474.1,1343,563,500,97,488,772,1.242,4.71,0.59,132,161,0.979,29.5,ATL
1973,NL West,76,85,5,4.78,4.25,162,34,9,35,1462.0,1467,774,690,144,575,803,1.397,4.94,0.89,166,142,0.974,28.2,ATL
1972,NL West,70,84,4,4.71,4.27,155,40,4,27,1377.0,1412,730,654,155,512,732,1.397,4.78,1.01,156,130,0.974,28.2,ATL
1971,NL West,82,80,3,4.31,3.75,162,40,11,31,1474.2,1529,699,614,152,485,823,1.366,5.02,0.93,146,180,0.977,28.5,ATL
1970,NL West,76,86,5,4.77,4.33,162,45,9,24,1430.2,1451,772,688,185,478,960,1.348,6.04,1.16,141,118,0.977,28.7,ATL
1969,NL West,93,69,1,3.9,3.53,162,38,7,42,1445.0,1334,631,566,144,438,893,1.226,5.56,0.9,115,114,0.981,27.5,ATL
1968,NL,81,81,5,3.37,2.92,163,44,16,29,1474.2,1326,549,478,87,362,871,1.145,5.32,0.53,125,139,0.98,27.5,ATL
1967,NL,77,85,7,3.95,3.47,162,35,5,32,1454.0,1377,640,561,118,449,862,1.256,5.34,0.73,138,148,0.978,28.1,ATL
1966,NL,85,77,5,4.19,3.68,163,37,10,36,1469.1,1430,683,601,129,485,884,1.303,5.41,0.79,154,139,0.976,28.0,ATL
1965,NL,86,76,5,3.91,3.52,162,43,4,38,1447.2,1336,633,566,123,541,966,1.297,6.01,0.76,140,145,0.978,26.6,ATL
1964,NL,88,74,5,4.59,4.12,162,45,14,38,1434.2,1411,744,656,160,452,906,1.299,5.68,1.0,143,139,0.977,28.0,ATL
1963,NL,84,78,6,3.7,3.27,163,56,18,25,1471.2,1327,603,534,149,489,924,1.234,5.65,0.91,129,161,0.98,28.1,ATL
1962,NL,86,76,5,4.1,3.68,162,59,10,24,1434.2,1443,665,586,151,407,802,1.289,5.03,0.95,124,154,0.98,28.9,ATL
1961,NL,83,71,4,4.23,3.89,155,57,8,16,1391.1,1357,656,602,153,493,652,1.33,4.22,0.99,111,152,0.982,30.8,ATL
1960,NL,88,66,2,4.27,3.76,154,55,13,28,1387.1,1327,658,580,130,518,807,1.33,5.24,0.84,141,137,0.976,30.4,ATL
1959,NL,86,70,2,3.97,3.51,157,69,18,18,1400.2,1406,623,546,128,429,775,1.31,4.98,0.82,127,138,0.979,30.2,ATL
1958,NL,92,62,1,3.51,3.21,154,72,16,18,1376.0,1261,541,491,125,426,773,1.226,5.06,0.82,120,152,0.98,29.9,ATL
1957,NL,95,59,1,3.95,3.47,155,60,9,23,1411.0,1347,613,544,124,570,693,1.359,4.42,0.79,120,173,0.981,29.0,ATL
1956,NL,92,62,2,3.67,3.11,155,64,12,25,1393.1,1295,569,482,133,467,639,1.265,4.13,0.86,130,159,0.979,28.6,ATL
1955,NL,85,69,2,4.34,3.85,154,61,5,13,1383.0,1339,668,591,138,591,654,1.396,4.26,0.9,152,155,0.975,27.2,ATL
1954,NL,89,65,3,3.61,3.19,154,63,13,20,1394.2,1296,556,494,106,553,698,1.326,4.5,0.68,116,171,0.981,27.4,ATL
1953,NL,92,62,2,3.75,3.3,157,72,14,16,1387.0,1282,589,508,107,539,738,1.313,4.79,0.69,143,169,0.976,28.1,ATL
1952,NL,64,89,7,4.2,3.78,155,63,11,13,1396.0,1388,651,586,106,525,687,1.37,4.43,0.68,154,143,0.975,28.8,ATL
1951,NL,76,78,4,4.27,3.75,155,73,16,12,1389.0,1378,662,578,96,595,604,1.42,3.91,0.62,145,157,0.976,28.0,ATL
1950,NL,83,71,4,4.72,4.14,156,88,7,10,1385.1,1411,736,637,129,554,615,1.418,4.0,0.84,182,146,0.97,28.6,ATL
1949,NL,75,79,4,4.58,3.99,157,68,12,11,1400.0,1466,719,620,110,520,589,1.419,3.79,0.71,148,144,0.976,28.9,ATL
1948,NL,91,62,1,3.79,3.38,154,70,10,17,1389.1,1354,584,521,93,430,579,1.284,3.75,0.6,143,132,0.976,29.6,ATL
1947,NL,86,68,3,4.06,3.62,154,74,14,13,1362.2,1342,626,548,93,453,494,1.317,3.26,0.61,153,124,0.974,30.4,ATL
1946,NL,81,72,4,3.84,3.35,154,74,10,12,1371.0,1291,592,510,76,478,566,1.29,3.72,0.5,169,129,0.972,30.9,ATL
1945,NL,67,85,6,4.73,4.04,154,57,7,13,1391.2,1474,728,624,99,557,404,1.459,2.61,0.64,193,160,0.969,30.8,ATL
1944,NL,65,89,6,4.35,3.67,155,70,13,12,1388.1,1430,674,566,80,527,454,1.41,2.94,0.52,182,160,0.971,29.0,ATL
1943,NL,68,85,6,4.0,3.25,153,87,13,4,1397.2,1361,612,505,66,441,409,1.289,2.63,0.42,176,139,0.972,28.2,ATL
1942,NL,59,89,7,4.3,3.76,150,68,9,8,1334.0,1326,645,557,82,518,414,1.382,2.79,0.55,142,138,0.976,26.6,ATL
1941,NL,62,92,7,4.62,3.95,156,62,10,9,1385.2,1440,720,608,75,554,446,1.439,2.9,0.49,191,174,0.969,26.2,ATL
1940,NL,65,87,7,4.9,4.36,152,76,9,8,1359.0,1444,745,658,83,573,435,1.484,2.88,0.55,184,169,0.97,28.1,ATL
1939,NL,63,88,7,4.34,3.71,152,68,11,15,1358.1,1400,659,560,63,513,430,1.408,2.85,0.42,181,178,0.971,31.1,ATL
1938,NL,77,75,5,4.04,3.4,153,83,15,12,1380.0,1375,618,522,66,465,413,1.333,2.69,0.43,173,136,0.972,30.4,ATL
1937,NL,79,73,5,3.66,3.22,152,85,16,10,1359.1,1344,556,486,60,372,387,1.262,2.56,0.4,157,128,0.975,30.8,ATL
1936,NL,71,83,6,4.55,3.94,157,61,7,13,1413.1,1566,715,619,69,451,421,1.427,2.68,0.44,189,175,0.971,30.8,ATL
1935,NL,38,115,8,5.57,4.93,153,54,6,5,1330.0,1645,852,729,81,404,355,1.541,2.4,0.55,197,101,0.967,33.2,ATL
1934,NL,78,73,4,4.7,4.11,152,62,12,20,1359.2,1512,714,621,78,405,462,1.41,3.06,0.52,169,120,0.972,32.3,ATL
1933,NL,83,71,4,3.4,2.96,156,85,15,16,1403.0,1391,531,462,54,355,383,1.244,2.46,0.35,138,148,0.978,32.0,ATL
1932,NL,77,77,5,4.23,3.53,155,72,8,8,1414.0,1483,655,554,61,420,440,1.346,2.8,0.39,152,145,0.976,30.2,ATL
1931,NL,64,90,7,4.36,3.9,156,78,12,9,1380.1,1465,680,598,66,406,419,1.355,2.73,0.43,170,141,0.973,30.2,ATL
1930,NL,70,84,6,5.42,4.91,154,71,6,11,1361.0,1624,835,743,117,475,424,1.542,2.8,0.77,178,167,0.971,30.9,ATL
1929,NL,56,98,8,5.69,5.12,154,78,4,12,1352.2,1604,876,770,103,530,366,1.578,2.44,0.69,204,146,0.967,29.7,ATL
1928,NL,50,103,7,5.74,4.83,153,54,1,7,1360.0,1596,878,730,100,524,343,1.559,2.27,0.66,193,141,0.969,28.3,ATL
1927,NL,60,94,7,4.97,4.22,155,52,3,10,1390.0,1602,771,652,43,468,402,1.489,2.6,0.28,231,130,0.963,29.0,ATL
1926,NL,66,86,7,4.7,4.01,153,60,9,10,1365.1,1536,719,608,46,455,408,1.458,2.69,0.3,208,150,0.967,28.4,ATL
1925,NL,70,83,5,5.24,4.39,153,77,5,4,1366.2,1567,802,667,67,458,351,1.482,2.31,0.44,221,145,0.964,27.9,ATL
1924,NL,53,100,8,5.18,4.46,154,66,10,4,1379.1,1607,798,684,49,402,364,1.457,2.38,0.32,168,154,0.973,26.6,ATL
1923,NL,54,100,7,5.15,4.21,155,55,13,8,1392.2,1662,798,652,64,394,351,1.476,2.27,0.41,230,157,0.964,29.1,ATL
1922,NL,53,100,8,5.34,4.37,154,62,7,7,1348.0,1565,822,655,57,489,360,1.524,2.4,0.38,215,121,0.965,28.7,ATL
1921,NL,79,74,4,4.56,3.9,153,74,11,12,1385.0,1488,697,600,54,420,382,1.378,2.48,0.35,199,122,0.969,26.5,ATL
1920,NL,62,90,7,4.38,3.54,153,93,14,6,1386.1,1464,670,545,39,415,368,1.355,2.39,0.25,239,125,0.964,26.9,ATL
1919,NL,57,82,6,4.02,3.17,140,79,5,9,1270.1,1313,563,447,29,337,374,1.299,2.65,0.21,204,111,0.966,28.0,ATL
1918,NL,53,71,7,3.78,2.9,124,96,13,0,1117.1,1111,469,360,14,277,340,1.242,2.74,0.11,184,93,0.965,28.4,ATL
1917,NL,72,81,6,3.52,2.77,157,103,21,3,1424.2,1309,552,438,19,371,593,1.179,3.75,0.12,224,122,0.966,27.5,ATL
1916,NL,89,63,3,2.87,2.19,158,97,23,11,1415.2,1206,453,345,24,325,644,1.081,4.09,0.15,212,124,0.967,27.9,ATL
1915,NL,83,69,2,3.47,2.57,157,95,17,13,1405.2,1257,545,402,23,366,630,1.155,4.03,0.15,213,115,0.966,27.2,ATL
1914,NL,94,59,1,3.47,2.74,158,104,19,6,1421.0,1272,548,433,38,477,606,1.231,3.84,0.24,246,143,0.963,25.2,ATL
1913,NL,69,82,5,4.48,3.19,154,105,13,3,1373.1,1343,690,487,38,419,597,1.283,3.91,0.25,273,82,0.957,27.7,ATL
1912,NL,52,101,8,5.62,4.17,155,89,5,5,1390.2,1544,871,644,43,521,542,1.485,3.51,0.28,297,129,0.954,29.3,ATL
1911,NL,44,107,8,6.54,5.08,156,73,5,7,1374.0,1570,1021,776,76,672,486,1.632,3.18,0.5,347,110,0.947,27.5,ATL
1910,NL,53,100,8,4.46,3.22,157,72,12,9,1390.1,1328,701,497,36,599,440,1.386,2.85,0.23,305,137,0.954,26.8,ATL
1909,NL,45,108,8,4.41,3.2,155,98,13,6,1370.2,1329,683,487,23,543,414,1.366,2.72,0.15,342,101,0.948,25.9,ATL
1908,NL,63,91,6,3.99,2.79,156,92,14,1,1404.2,1262,622,436,29,423,416,1.2,2.67,0.19,253,90,0.962,28.3,ATL
1907,NL,58,90,7,4.29,3.33,152,121,9,2,1338.2,1324,652,496,28,458,426,1.331,2.86,0.19,249,128,0.961,28.2,ATL
1906,NL,49,102,8,4.27,3.14,152,137,10,0,1334.1,1291,649,465,24,436,562,1.294,3.79,0.16,337,102,0.947,26.9,ATL
1905,NL,51,103,7,4.7,3.52,156,139,14,0,1383.0,1390,733,541,36,433,533,1.318,3.47,0.23,325,89,0.951,28.7,ATL
1904,NL,55,98,7,4.83,3.43,155,136,13,0,1348.1,1405,749,514,25,500,544,1.413,3.63,0.17,353,91,0.945,27.6,ATL
1903,NL,58,80,6,4.99,3.34,140,125,8,1,1228.2,1310,699,456,30,460,516,1.441,3.78,0.22,361,89,0.939,29.1,ATL
1902,NL,73,64,3,3.63,2.61,142,124,14,4,1259.2,1233,516,365,16,372,523,1.274,3.74,0.11,240,90,0.959,27.0,ATL
1901,NL,69,69,5,3.97,2.9,140,128,11,0,1263.0,1196,556,407,29,349,558,1.223,3.98,0.21,282,89,0.952,27.4,ATL
1900,NL,66,72,4,5.2,3.72,142,116,8,2,1240.1,1263,739,513,59,463,340,1.392,2.47,0.43,273,86,0.953,26.5,ATL
1899,NL,95,57,2,4.22,3.26,153,138,13,4,1348.0,1273,645,489,44,432,385,1.265,2.57,0.29,303,124,0.952,26.2,ATL
1898,NL,102,47,1,4.04,2.98,152,127,9,8,1340.0,1186,614,443,37,470,432,1.236,2.9,0.25,310,102,0.95,25.6,ATL
1897,NL,93,39,1,4.93,3.65,135,115,8,7,1194.1,1273,665,485,39,393,329,1.395,2.48,0.29,272,80,0.951,26.4,ATL
1896,NL,74,57,4,5.77,3.78,132,110,6,3,1155.2,1254,761,485,57,397,277,1.429,2.16,0.44,368,94,0.934,26.8,ATL
1895,NL,71,60,6,6.23,4.25,133,117,4,4,1185.1,1376,829,560,56,367,377,1.47,2.86,0.43,365,106,0.935,25.2,ATL
1894,NL,83,49,3,7.53,5.41,133,108,3,2,1166.0,1529,1002,701,89,411,262,1.664,2.02,0.69,415,120,0.925,25.7,ATL
1893,NL,86,43,1,6.07,4.43,131,114,2,2,1163.2,1314,795,573,66,402,253,1.475,1.96,0.51,353,118,0.936,24.9,ATL
1892,NL,102,48,1,4.27,2.86,152,142,15,1,1336.0,1156,649,424,41,460,514,1.21,3.46,0.28,454,128,0.929,24.2,ATL
1891,NL,87,51,1,4.7,2.76,140,126,9,6,1241.2,1223,658,381,51,364,525,1.278,3.81,0.37,358,96,0.938,25.1,ATL
1890,NL,76,57,5,4.43,2.93,134,132,13,1,1187.0,1132,593,387,27,354,506,1.252,3.84,0.2,359,77,0.935,24.4,ATL
1889,NL,83,45,2,4.71,3.36,133,121,10,5,1166.0,1152,626,435,41,413,497,1.342,3.84,0.32,413,105,0.926,27.3,ATL
1888,NL,70,64,4,4.52,2.61,137,134,7,0,1225.1,1104,619,355,36,269,484,1.121,3.55,0.26,494,91,0.917,25.5,ATL
1887,NL,61,60,5,6.24,4.41,127,123,4,1,1100.2,1226,792,539,55,396,254,1.474,2.08,0.45,522,94,0.905,24.9,ATL
1886,NL,56,61,5,5.6,3.24,118,116,3,0,1029.0,1049,661,371,33,298,511,1.309,4.47,0.29,465,63,0.905,26.5,ATL
1885,NL,46,66,5,5.21,3.03,113,111,10,0,981.0,1045,589,330,26,188,480,1.257,4.4,0.24,478,79,0.901,25.5,ATL
1884,NL,73,38,2,4.03,2.47,116,109,14,2,1037.0,932,468,285,30,135,742,1.029,6.44,0.26,384,46,0.922,24.1,ATL
1883,NL,63,35,1,4.65,2.55,98,89,6,3,860.0,853,456,244,11,90,538,1.097,5.63,0.12,409,58,0.901,23.8,ATL
1882,NL,45,39,3,4.87,2.8,85,81,4,0,749.0,738,414,233,10,77,352,1.088,4.23,0.12,314,37,0.91,26.1,ATL
1881,NL,38,45,6,4.94,2.71,83,72,6,3,730.2,763,410,220,9,143,199,1.24,2.45,0.11,325,54,0.909,23.1,ATL
1880,NL,40,44,6,5.3,3.08,86,70,4,0,744.2,840,456,255,2,86,187,1.244,2.26,0.02,367,54,0.901,24.0,ATL
1879,NL,54,30,2,4.14,2.19,84,79,13,0,753.0,757,348,183,9,46,230,1.066,2.75,0.11,319,58,0.913,23.0,ATL
1878,NL,41,19,1,4.02,2.32,60,58,9,0,544.0,595,241,140,6,38,184,1.164,3.04,0.1,228,48,0.914,22.0,ATL
1877,NL,42,18,1,4.31,2.15,61,61,7,0,548.0,557,263,131,5,38,177,1.086,2.91,0.08,290,36,0.889,21.0,ATL
1876,NL,39,31,4,6.43,2.51,70,49,3,7,632.0,732,450,176,7,104,77,1.323,1.1,0.1,442,42,0.86,21.9,ATL
2023,AL East,101,61,1,4.19,3.89,162,0,12,49,1453.2,1334,678,629,177,473,1431,1.243,8.86,1.1,71,140,0.988,28.4,BAL
2022,AL East,83,79,4,4.25,3.97,162,2,15,46,1433.1,1406,688,632,171,443,1214,1.29,7.62,1.07,91,151,0.985,27.7,BAL
2021,AL East,52,110,5,5.9,5.84,162,1,5,26,1402.0,1518,956,910,258,563,1234,1.484,7.92,1.66,74,101,0.987,28.1,BAL
2020,AL East,25,35,4,4.9,4.51,60,0,1,11,518.2,489,294,260,79,192,487,1.313,8.45,1.37,43,42,0.98,28.3,BAL
2019,AL East,54,108,5,6.06,5.59,162,0,5,27,1443.0,1544,981,897,305,561,1248,1.459,7.78,1.9,108,155,0.982,27.3,BAL
2018,AL East,47,115,5,5.51,5.18,162,2,7,28,1431.0,1552,892,824,234,589,1203,1.496,7.57,1.47,104,159,0.982,27.1,BAL
2017,AL East,75,87,5,5.19,4.97,162,1,10,35,1441.0,1505,841,795,242,579,1233,1.446,7.7,1.51,94,175,0.984,28.2,BAL
2016,AL East,89,73,2,4.41,4.22,162,1,9,54,1432.0,1408,715,671,183,545,1248,1.364,7.84,1.15,80,165,0.987,27.9,BAL
2015,AL East,81,81,3,4.28,4.05,162,0,10,43,1434.2,1406,693,646,174,483,1233,1.317,7.73,1.09,77,134,0.987,28.3,BAL
2014,AL East,96,66,1,3.66,3.43,162,3,13,53,1461.1,1342,593,557,151,472,1174,1.241,7.23,0.93,87,156,0.986,27.7,BAL
2013,AL East,85,77,3,4.38,4.2,162,2,6,57,1453.0,1438,709,678,202,473,1169,1.315,7.24,1.25,54,165,0.991,27.9,BAL
2012,AL East,93,69,2,4.35,3.9,162,1,10,55,1483.0,1433,705,642,184,481,1177,1.291,7.14,1.12,106,151,0.983,27.6,BAL
