Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Shohei Ohtani,28,7,5,0.583,3.5,18,18,0,0,0,0,105.1,72,44,41,14,46,0,139,10,0,12,432,126,3.97,1.12,6.2,1.2,3.9,11.9,3.02,ohtansh01
2,SP,Patrick Sandoval*,26,5,7,0.417,4.16,17,17,0,0,0,0,93,92,49,43,7,39,2,77,4,0,4,412,107,4,1.409,8.9,0.7,3.8,7.5,1.97,sandopa02
3,SP,Reid Detmers*,23,2,6,0.25,4.42,17,17,0,0,0,0,91.2,83,50,45,11,35,1,113,6,0,5,391,100,3.72,1.287,8.1,1.1,3.4,11.1,3.23,detmere01
4,SP,Tyler Anderson*,33,4,2,0.667,5.17,17,16,0,0,0,0,87,96,52,50,10,39,0,73,4,1,4,393,86,4.58,1.552,9.9,1,4,7.6,1.87,anderty01
5,SP,Griffin Canning,27,6,4,0.6,4.52,15,15,0,0,0,0,79.2,73,41,40,15,25,0,83,4,0,3,335,98,4.74,1.23,8.2,1.7,2.8,9.4,3.32,cannigr01
6,CL,Carlos Estévez,30,3,1,0.75,2.13,39,0,32,0,0,21,38,29,10,9,4,19,3,45,1,0,0,159,209,3.86,1.263,6.9,0.9,4.5,10.7,2.37,estevca01
7,RP,Chris Devenski (15-day IL),32,3,2,0.6,5.08,29,0,4,0,0,0,33.2,31,20,19,5,9,1,33,1,0,1,140,88,4.15,1.188,8.3,1.3,2.4,8.8,3.67,devench02
8,RP,Matt Moore*,34,3,1,0.75,2.25,25,0,4,0,0,0,28,18,8,7,4,8,2,25,2,0,0,108,199,4.43,0.929,5.8,1.3,2.6,8,3.13,moorema02
9,RP,Aaron Loup*,35,1,2,0.333,5,30,0,13,0,0,0,27,31,18,15,2,11,3,26,2,1,0,125,89,3.77,1.556,10.3,0.7,3.7,8.7,2.36,loupaa01
10,RP,Jacob Webb,29,1,1,0.5,3.51,24,0,3,0,0,1,25.2,18,10,10,4,14,3,26,2,0,1,112,128,5.16,1.247,6.3,1.4,4.9,9.1,1.86,webbja01
11,,Jaime Barria,26,2,5,0.286,3.77,20,6,7,0,0,0,57.1,51,31,24,10,17,3,46,2,1,1,236,118,4.94,1.186,8,1.6,2.7,7.2,2.71,barrija01
